抓取错误!  | 标题 : 3238 , url : [2017-02-13] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3238 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3238 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3238 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3238 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3238 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3238 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3238 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3238 , url : [2017-02-09] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3239 , url : [2017-02-08] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3240 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3241 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3242 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3243 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3244 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3245 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3246 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3247 , url : [2017-02-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3248 , url : [2017-02-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3249 , url : [2017-02-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3649 , url : [2017-02-14] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3649 , url : [2017-02-14] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3649 , url : [2017-02-13] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3649 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3649 , url : [2017-02-09] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3649 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3650 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3651 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3652 , url : [2017-01-23] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3653 , url : [2017-01-22] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3654 , url : [2017-01-22] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3655 , url : [2017-01-22] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3657 , url : [2017-01-21] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3661 , url : [2017-01-17] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3665 , url : [2017-01-17] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3669 , url : [2017-01-16] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3673 , url : [2017-01-12] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3677 , url : [2017-01-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3683 , url : [2017-01-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 3689 , url : [2017-01-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4073 , url : [2017-02-13] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4073 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4073 , url : [2017-02-09] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4073 , url : [2017-02-09] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4074 , url : [2017-02-08] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4075 , url : [2017-02-08] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4076 , url : [2017-02-08] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4077 , url : [2017-02-08] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4078 , url : [2017-02-08] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4079 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4080 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4081 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4082 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4083 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4084 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4085 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4086 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4087 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4088 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4089 , url : [2017-01-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2016-12-17] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2016-12-17] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2016-12-17] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2016-12-17] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2016-08-12] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2016-06-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2015-11-20] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2015-11-03] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2015-11-03] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4434 , url : [2015-10-29] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
